"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"4","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.1 - Growing of non-perennial crops","01.1.1 - Growing of cereals (except rice), leguminous crops and oil seeds","0111",NA,NA,NA,NA
"5","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.1 - Growing of non-perennial crops","01.1.3 - Growing of vegetables and melons, roots and tubers","0113",NA,NA,NA,NA
"6","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.1 - Growing of non-perennial crops","01.1.6 - Growing of fibre crops","0116",NA,NA,NA,NA
"7","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.1 - Growing of non-perennial crops","01.1.9 - Growing of other non-perennial crops","0119",NA,NA,NA,NA
"9","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.1 - Growing of grapes","0121",NA,NA,NA,NA
"10","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.4 - Growing of pome fruits and stone fruits","0124",NA,NA,NA,NA
"11","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.5 - Growing of other tree and bush fruits and nuts","0125",NA,NA,NA,NA
"12","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.7 - Growing of beverage crops","0127",NA,NA,NA,NA
"13","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops","0128",NA,NA,NA,NA
"14","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.2 - Growing of perennial crops","01.2.9 - Growing of other perennial crops","0129",NA,NA,NA,NA
"16","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.3 - Plant propagation","01.3.0 - Plant propagation","0130",NA,NA,NA,NA
"18","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.1 - Raising of dairy cattle","0141",NA,NA,NA,NA
"19","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.2 - Raising of other cattle and buffaloes","0142",NA,NA,NA,NA
"20","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.3 - Raising of horses and other equines","0143",NA,NA,NA,NA
"21","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.5 - Raising of sheep and goats","0145",NA,NA,NA,NA
"22","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.6 - Raising of swine/pigs","0146",NA,NA,NA,NA
"23","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.7 - Raising of poultry","0147",NA,NA,NA,NA
"24","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.4 - Animal production","01.4.9 - Raising of other animals","0149",NA,NA,NA,NA
"26","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.5 - Mixed farming","01.5.0 - Mixed farming","0150",NA,NA,NA,NA
"28","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.6 - Support activities to agriculture and post-harvest crop activities","01.6.1 - Support activities for crop production","0161",NA,NA,NA,NA
"29","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.6 - Support activities to agriculture and post-harvest crop activities","01.6.2 - Support activities for animal production","0162",NA,NA,NA,NA
"30","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.6 - Support activities to agriculture and post-harvest crop activities","01.6.3 - Post-harvest crop activities","0163",NA,NA,NA,NA
"31","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.6 - Support activities to agriculture and post-harvest crop activities","01.6.4 - Seed processing for propagation","0164",NA,NA,NA,NA
"33","A - Agriculture, forestry and fishing","01 - Crop and animal production, hunting and related service activities","01.7 - Hunting, trapping and related service activities","01.7.0 - Hunting, trapping and related service activities","0170",NA,NA,NA,NA
"36","A - Agriculture, forestry and fishing","02 - Forestry and logging","02.1 - Silviculture and other forestry activities","02.1.0 - Silviculture and other forestry activities","0210",NA,NA,NA,NA
"38","A - Agriculture, forestry and fishing","02 - Forestry and logging","02.2 - Logging","02.2.0 - Logging","0220",NA,NA,NA,NA
"40","A - Agriculture, forestry and fishing","02 - Forestry and logging","02.4 - Support services to forestry","02.4.0 - Support services to forestry","0240",NA,NA,NA,NA
"43","A - Agriculture, forestry and fishing","03 - Fishing and aquaculture","03.1 - Fishing","03.1.1 - Marine fishing","0311",NA,NA,NA,NA
"44","A - Agriculture, forestry and fishing","03 - Fishing and aquaculture","03.1 - Fishing","03.1.2 - Freshwater fishing","0312",NA,NA,NA,NA
"46","A - Agriculture, forestry and fishing","03 - Fishing and aquaculture","03.2 - Aquaculture","03.2.1 - Marine aquaculture","0321",NA,NA,NA,NA
"47","A - Agriculture, forestry and fishing","03 - Fishing and aquaculture","03.2 - Aquaculture","03.2.2 - Freshwater aquaculture","0322",NA,NA,NA,NA
