m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1.2,-6,-2.7,15.3,18.8,23.3,24,28.4,23.2,21.1,1.5,4.1
5.7,-5.3,3.1,15,21.1,23.2,23.5,27.2,24.2,19,4.1,1.6
6.5,-2.4,8.1,10.7,12.9,22.2,23.5,29.1,23.9,22.7,9.1,4.5
2,-0.7,13.2,12.3,15.7,21.2,21.8,30.7,25.6,22,12.3,5.5
-2.7,-2.2,11.3,11.4,18.9,24.7,23.1,31.2,26.4,21.1,15,5.9
-1.7,-3.1,7.9,14.4,16.3,23.3,22.9,30.5,24.7,18,14,-1.1
-3.4,-2.9,8.1,14.1,16.5,21.7,24,30.6,24.3,19.7,12.8,1.7
-3.3,1.3,2.7,11.1,19.4,22.1,27.3,30.5,23,16.8,4.1,2.1
-2.1,0.3,0.3,10.7,20.2,24.1,27.7,29.3,23.9,11.3,2.1,1.4
0.3,2.7,-1.1,13.4,14.5,24.6,27.9,29.4,24.4,14,6,-1.6
-3.8,8.1,-0.5,12.5,16.4,23.5,28.4,30.5,24.5,15.4,9.1,-1.1
-5.2,8.4,2,14.1,17.8,23.5,26.3,30.4,23.4,15.5,11.4,2.3
-4.5,11,3.7,15.6,18.6,23.5,26.3,30.2,24.6,15.2,14.4,3.4
-3.4,-2.6,4.7,12.4,20.2,23.8,27.5,28.9,24.6,16.7,13.2,-1.4
-0.4,-5.8,5.2,15,17.4,20.9,26.2,29.1,23.9,19.1,5.2,-5
-0.2,-2.7,7.5,14.9,15.9,20.9,20.8,29.3,24.6,17.2,5.2,-4.7
1.7,0,9.3,10.8,19.3,23.8,21.7,29.9,23.1,17.5,9.1,2.7
-6.3,3.5,13.4,11.2,22.3,24.5,24.4,29.9,23.5,17,10.3,4.9
-12.8,2.3,11.4,12,24.3,24.1,27.1,28.9,21.9,18,13,7.2
-10.5,1.3,10.6,14.3,24,24.7,28.6,30.1,20.6,18.6,9.8,7.6
-7.1,-0.6,9.9,13.5,24.1,26,28.3,30.7,20.2,17.9,9.5,7.9
-7.6,1.1,8,13.5,24.7,24.3,29.1,30.7,21.9,18.3,2,5.5
-11.5,0.7,8.2,13.5,23.3,24.7,28.7,28.3,21.4,13.3,-1.8,-2.5
-14.4,-3,7.2,15.5,16.8,23.1,28,29.1,22.3,15.1,-2.5,-2.4
-9.4,-0.2,7.1,17.2,19.7,22.8,28.4,27.1,23,14.1,1,1
-3.3,2.2,6.5,21.1,19.4,24.4,28.4,23,23.6,13.3,0.9,2.5
-1.1,3.3,7.2,17.2,20.9,24.4,27.6,23.4,21,14.6,3.3,-2.3
-0.5,0.7,9.8,17.2,21.7,24.7,28,21,19.9,14.6,1.4,-3.7
1.9,-3.8,11.3,16.2,21.5,25.3,26.3,22.2,20.4,7.8,1.7,-4.2
0.6,NA,11.5,15.9,22.1,24.6,28.6,20.6,20.5,7.9,6,-3.9
-3.9,NA,13.5,NA,21.6,NA,28.9,17.7,NA,5.7,NA,0.7
